symbol	globalScore
PALM3	0.119886936
USP31	0.119004713
PLSCR4	0.118265553
COX18	0.118265553
TOP3A	0.118265553
CARMIL1	0.118265553
LARS1	0.118265553
KIF1A	0.118265553
SOX3	0.118265553
TCF19	0.118265553
SCP2	0.118265553
DBH	0.118265553
TENM1	0.118265553
PIK3R3	0.117550236
RPGRIP1L	0.117214673
OCM	0.117033053
SERAC1	0.116863036
SPTBN4	0.115592407
OCM2	0.115185154
SLC12A7	0.115169619
ALG10	0.115127323
ALG10B	0.115127323
HARS1	0.115106949
TRIM48	0.114500145
CLDN7	0.113946011
GPBP1L1	0.112739374
GABRB2	0.112322839
TFAM	0.110873956
TOP1MT	0.110873956
POLR2C	0.110873956
EAF2	0.110768946
GABRA5	0.109649177
PAFAH1B1	0.108543514
CHRNA5	0.107427718
SCN9A	0.106705917
SCN2A	0.106705917
SCN7A	0.106705917
SCN1A	0.106705917
SCN3A	0.106705917
SCN10A	0.106705917
SCN5A	0.106705917
SCN4A	0.106705917
SCN11A	0.106705917
ESPNL	0.106215178
NISCH	0.105707501
ERCC6	0.105234966
TMTC4	0.105232116
PAX2	0.101058379
CS	0.100665887
GABRB3	0.100422238
LRP2	0.09932662
GRIA3	0.098349306
BSN	0.098335812
TMEM69	0.098318531
TMEM43	0.096661779
GRIA1	0.096501407
GRIA4	0.096501407
GRIA2	0.096501407
CYP26C1	0.095251461
UTP15	0.094408366
HYKK	0.092949073
COL4A3	0.092925721
CA2	0.092764544
GRIK3	0.092764544
GRIK1	0.092394964
GABRQ	0.092394964
GABRA3	0.092394964
GABRA4	0.092394964
GABRD	0.092394964
GABRG1	0.092394964
GRIK2	0.092394964
GRIK4	0.092394964
GABRA2	0.092394964
GRIK5	0.092394964
GABRP	0.092394964
CA4	0.092394964
GABRB1	0.092394964
GABRG2	0.092394964
GABRE	0.092394964
GABRA6	0.092394964
GABRG3	0.092394964
CCDC122	0.092274263
TBC1D10A	0.090822871
FGFR3	0.08973673
TBX1	0.089343433
NOX4	0.089309743
DLX5	0.089212625
CLUH	0.089161088
HMX3	0.08761069
VWF	0.087092517
GATA3	0.086570041
KCNMA1	0.086481822
JAG1	0.086381946
UBE3B	0.086188922
STRCP1	0.086161638
SLC7A14	0.086043905
LRIG3	0.086021138
SLC16A8	0.085559077
BMP4	0.085472634
ZEB1	0.085281126
FGF10	0.08526421
EXT1	0.084730009
ZPLD1	0.084512236
EYA2	0.083902556
CDKN2D	0.083703235
DLX1	0.083585823
ZFYVE26	0.08342766
SLC22A7	0.082948524
SOX2	0.082540191
SLC25A13	0.082420822
GRID2	0.082348038
TRIM42	0.082276356
THRB	0.082202987
MCOLN3	0.08197575
OC90	0.081925649
SOX10	0.081520964
GP1BB	0.081277447
TECTB	0.081271753
NDUFV2	0.08037222
PSMA4	0.080051129
GAS2	0.080046043
OTOS	0.079768302
SOD1	0.079347976
NOG	0.079299975
MAT2B	0.078888995
KCTD10	0.07753742
KLHL18	0.077307841
SHH	0.076842768
MCTP1	0.076198345
EMX2	0.076183087
NPLOC4	0.075775066
CACNA1D	0.075584357
LRRN1	0.075520085
NGFR	0.075344071
TPO	0.075226183
MMAB	0.075223903
SLC44A2	0.074820376
RNF215	0.074691684
ITGB3	0.074295612
ACTB	0.074278689
NPTN	0.074262117
KCNE1	0.074015024
TLR9	0.073915971
TLR7	0.073915971
NQO1	0.073915971
NDP	0.073751736
FOXC1	0.073408466
CTDNEP1	0.0731053
GBX2	0.073045934
ITGA2B	0.072788958
TMEM63B	0.072562077
OOSP4B	0.072490105
BCL2L1	0.072084771
RTKN2	0.071994686
CACHD1	0.071881079
OGG1	0.071831951
TYRP1	0.07167818
PAX6	0.071410176
GRID1	0.070965235
MVK	0.070890967
VANGL2	0.070579163
ATP8B1	0.070559786
NTRK2	0.070501407
SOBP	0.070102864
KIT	0.06964265
HMX2	0.06893398
HOXA2	0.068671631
FERMT3	0.068640219
FGFR1	0.068279886
CYS1	0.068053202
P2RY1	0.06781893
IGF1R	0.067244041
PDLIM1	0.067069504
CDKN1B	0.066877441
P2RY12	0.0668533
TNFRSF11B	0.066244972
NR2F1	0.066034844
SRRM4	0.065923427
HES5	0.065882489
IL1R2	0.065820324
LRIG1	0.065770431
EFNB2	0.065465895
TUBB1	0.065044207
SFSWAP	0.064711281
FOXE3	0.064487373
CLDN11	0.06437074
SLC4A11	0.06431995
MAFB	0.064261216
GP1BA	0.063493819
ITGA2	0.063316215
CASP3	0.063200162
CHRNA9	0.06319913
ZNF32	0.063153007
CALCB	0.062799009
CALCA	0.062799009
FIGN	0.062497688
ST3GAL4	0.062483018
SPTBN5	0.062457353
OTX1	0.062389582
ESRRG	0.062372144
PRSS36	0.062309316
REG1B	0.062309316
TTYH2	0.062309316
HAUS4	0.062309316
NCMAP	0.062309316
PTAFR	0.062309316
FRS2	0.062309316
MAGEH1	0.062309316
ZDHHC11	0.062309316
SERPINB9	0.062309316
ZDHHC11B	0.062309316
SRD5A3	0.062309316
QSOX1	0.062309316
CCN5	0.062309316
LDHAL6B	0.062309316
MPHOSPH8	0.062309316
SLX9	0.062309316
USP30	0.062309316
CTF2P	0.062309316
AGXT2	0.062309316
TTLL8	0.062309316
ASAP1	0.062309316
LDHAL6A	0.062309316
REG1A	0.062309316
PHF6	0.062309316
CNTNAP5	0.062309316
ZNF652	0.062309316
ZMAT4	0.062309316
OXSM	0.062309316
AKR1C4	0.062309316
KLHDC8B	0.062309316
TRIM69	0.062309316
ZNF652	0.062309316
HOXA1	0.062144761
MPL	0.061366275
KCNQ1	0.06127694
TBXAS1	0.061124812
CLIC1	0.061106333
EPYC	0.060786647
LRIG2	0.060786647
VSIR	0.060443964
IDS	0.060279999
ELMOD1	0.060205862
CELSR1	0.060071317
ISL1	0.059994924
XPO5	0.059871936
CA3	0.059796173
ZFAND1	0.05979075
MTHFD1L	0.059722742
NBEAL2	0.059557486
DLG4	0.059398679
RASA3	0.059250221
ROR2	0.059150605
GJC3	0.058841219
NTN1	0.058788464
FXYD7	0.058669017
IKZF2	0.058330788
TUBA1C	0.058159345
CASTOR1	0.058020773
TMEM163	0.05794273
SPRY2	0.057650927
